date,fitted
2019-11-01,155.52963728847462
2019-12-01,114.41417556629062
2020-01-01,96.3339830753297
2020-02-01,90.6199133788495
2020-03-01,105.27153290814012
2020-04-01,105.437275787664
2020-05-01,102.62816817806761
2020-06-01,82.37697814402189
2020-07-01,91.6720460598247
2020-08-01,102.3558482605415
2020-09-01,127.6738014409561
2020-10-01,122.65531276958305
2020-11-01,100.79538302189232
2020-12-01,87.20140685364994
2021-01-01,85.02488290224761
2021-02-01,88.85299524803436
2021-03-01,80.57583561559451
2021-04-01,103.0957047326463
2021-05-01,113.36534378137979
2021-06-01,122.67115819564665
2021-07-01,122.23401534238363
2021-08-01,119.15997849733972
2021-09-01,121.40303486539736
2021-10-01,126.49865807674668
2021-11-01,128.48435787430284
2021-12-01,127.39037766685472
2022-01-01,127.26335684265088
2022-02-01,129.25370932907745
2022-03-01,131.00347033760335
2022-04-01,131.10765756860937
2022-05-01,130.77550264574987
2022-06-01,131.30702239442567
2022-07-01,132.2730598595039
2022-08-01,132.69657246967085
2022-09-01,132.60361829920615
2022-10-01,132.66676075210668
2022-11-01,133.06605996920933
2022-12-01,133.40901901549546
2023-01-01,133.47158783825617
2023-02-01,133.45964743337169
2023-03-01,133.5858831840398
